"","V1","sgBaseDiffb","sg102Diffb","sg113Diffb","sg130Diffb","sg103Diffb","sg91Diffb"
"93",1108,9.68153835286702e-06,1.15137387864663e-06,1.10247173184236e-05,-1.45478453170761e-05,5.06952255204004e-06,-3.613325291647e-06
"94",1107,8.34976988823142e-06,1.65723941947722e-07,9.27239039127148e-06,-4.65657109013755e-07,6.35782244173853e-06,-3.12430382360461e-07
"95",1106,7.22556386892052e-06,-1.25243831537535e-06,4.46041914573383e-06,9.05124401627899e-06,5.93183040735491e-06,3.85566259692136e-06
"96",1105,2.59887742405226e-06,-2.29025054199881e-06,2.55595220630185e-06,1.69087322933477e-05,1.39697132704128e-06,5.50257822985093e-06
"97",1104,-4.15831254992095e-06,-2.83904130057977e-06,4.31425606250803e-07,1.81448698931216e-05,-7.40595845490958e-07,5.19612477654438e-06
"98",1103,-7.29620030319331e-06,-2.79013915377549e-06,-6.12526556582503e-06,1.51922669405187e-05,-6.87020826880965e-06,-5.44987258273943e-07
"99",1102,-7.17720507930299e-06,-1.33068175026216e-06,-5.32381371542211e-06,6.46540716470786e-06,-7.72273569476368e-06,-3.049320531838e-06
"100",1101,-1.12148923337735e-06,-2.22504767959318e-06,-1.64800234730304e-06,4.64624730358997e-06,-7.15981764932814e-06,-5.78240718100858e-06
"101",1100,2.03487266424331e-06,1.76047728495279e-06,4.08713275846146e-06,-5.84108975717367e-07,-1.02363060405019e-05,-4.27187420194416e-06
"102",1099,5.08038969577432e-06,1.78981857303535e-06,7.37987730994725e-06,-3.46227199374053e-06,-1.48173504816862e-06,6.78653126205555e-07
"103",1098,6.2263300025538e-06,5.97149548198521e-07,3.47476920903495e-06,1.42033568606994e-06,1.0158062605615e-05,7.41139202677668e-06
"104",1097,8.26120266679708e-06,1.48879869159588e-06,3.51008742617132e-06,6.0307214153368e-06,1.85208730663276e-05,1.51900935117718e-05
"105",1096,7.55266489532224e-06,1.35024260898386e-06,2.94553930917568e-06,9.38866882922827e-06,1.83709064827946e-05,1.97548372373548e-05
"106",1095,-2.51954727479202e-06,9.40007933014952e-07,-2.13267695785179e-06,6.57353524486393e-06,1.77275715737254e-05,1.75134888421601e-05
"107",1094,-8.91757814834737e-06,3.12430382360469e-07,-2.99661488472677e-06,1.2339641710271e-06,1.19321238202357e-05,9.10666644932383e-06
